date,code,open,high,low,close,preclose,volume,amount,adjustflag,turnover,tradestatus,pctChg,isST
2024-01-02,sh.600000,6.63,6.65,6.6,6.6,6.62,22066700,146066303.72,3,0.0752,1,-0.3021,0
2024-01-03,sh.600000,6.59,6.65,6.59,6.64,6.6,18203654,120639706.01,3,0.062,1,0.6061,0
2024-01-04,sh.600000,6.64,6.67,6.55,6.62,6.64,28885978,190580609.99,3,0.0984,1,-0.3012,0
2024-01-05,sh.600000,6.6,6.76,6.59,6.68,6.62,44421387,296976885.79,3,0.1513,1,0.9063,0
2024-01-08,sh.600000,6.68,6.71,6.56,6.59,6.68,37520337,247977824.98,3,0.1278,1,-1.3473,0
2024-01-09,sh.600000,6.6,6.64,6.54,6.61,6.59,30741897,202647645.73,3,0.1047,1,0.3035,0
2024-01-10,sh.600000,6.61,6.63,6.57,6.57,6.61,22240946,146695926.3,3,0.0758,1,-0.6051,0
2024-01-11,sh.600000,6.56,6.59,6.52,6.53,6.57,35914708,235312057.56,3,0.1224,1,-0.6088,0
2024-01-12,sh.600000,6.52,6.56,6.5,6.5,6.53,34624053,225743841.46,3,0.118,1,-0.4594,0
2024-01-15,sh.600000,6.5,6.54,6.47,6.51,6.5,28694155,186476697.92,3,0.0978,1,0.1538,0
2024-01-16,sh.600000,6.49,6.6,6.49,6.59,6.51,53186496,348808283.05,3,0.1812,1,1.2289,0
2024-01-17,sh.600000,6.58,6.62,6.52,6.53,6.59,48249869,316982892.41,3,0.1644,1,-0.9105,0
2024-01-18,sh.600000,6.53,6.58,6.36,6.56,6.53,73994422,477803910.09,3,0.2521,1,0.4594,0
2024-01-19,sh.600000,6.52,6.62,6.47,6.59,6.56,57640079,378165074.88,3,0.1964,1,0.4573,0
2024-01-22,sh.600000,6.58,6.67,6.53,6.59,6.59,67173480,445086464.92,3,0.2289,1,0.0,0
2024-01-23,sh.600000,6.58,6.65,6.5,6.62,6.59,33298531,218923249.13,3,0.1134,1,0.4552,0
2024-01-24,sh.600000,6.64,6.73,6.6,6.71,6.62,53746498,358343156.55,3,0.1831,1,1.3595,0
2024-01-25,sh.600000,6.73,6.8,6.7,6.77,6.71,50256871,339203853.25,3,0.1712,1,0.8942,0
2024-01-26,sh.600000,6.78,6.91,6.75,6.87,6.77,70997933,485347720.86,3,0.2419,1,1.4771,0
2024-01-29,sh.600000,6.86,6.97,6.85,6.9,6.87,55269921,381908899.02,3,0.1883,1,0.4367,0
2024-01-30,sh.600000,6.9,6.95,6.82,6.83,6.9,40737046,280193765.6,3,0.1388,1,-1.0145,0
2024-01-31,sh.600000,6.81,6.88,6.74,6.83,6.83,45661999,311141441.37,3,0.1556,1,0.0,0
2024-02-01,sh.600000,6.83,6.88,6.78,6.8,6.83,44252421,302115559.82,3,0.1508,1,-0.4392,0
2024-02-02,sh.600000,6.82,6.92,6.72,6.84,6.8,59482913,407459709.56,3,0.2027,1,0.5882,0
2024-02-05,sh.600000,6.84,6.92,6.76,6.89,6.84,82713695,566786780.1,3,0.2818,1,0.731,0
2024-02-06,sh.600000,6.89,7.0,6.86,7.0,6.89,71683218,498307470.73,3,0.2442,1,1.5965,0
2024-02-07,sh.600000,7.02,7.03,6.85,6.94,7.0,83731296,580014440.67,3,0.2853,1,-0.8571,0
2024-02-08,sh.600000,6.95,6.97,6.82,6.96,6.94,67164744,463209887.72,3,0.2288,1,0.2882,0
2024-02-19,sh.600000,6.98,7.13,6.95,7.12,6.96,57869788,407648425.03,3,0.1972,1,2.2989,0
2024-02-20,sh.600000,7.13,7.15,7.06,7.1,7.12,32408954,230505757.0,3,0.1104,1,-0.2809,0
2024-02-21,sh.600000,7.11,7.32,7.09,7.24,7.1,58809554,426038720.01,3,0.2004,1,1.9718,0
2024-02-22,sh.600000,7.24,7.27,7.18,7.21,7.24,33665209,242967428.02,3,0.1147,1,-0.4144,0
2024-02-23,sh.600000,7.21,7.33,7.2,7.28,7.21,37939600,276331223.8,3,0.1293,1,0.9709,0
2024-02-26,sh.600000,7.26,7.28,7.09,7.1,7.28,42483070,304097863.96,3,0.1447,1,-2.4725,0
2024-02-27,sh.600000,7.07,7.15,7.06,7.14,7.1,24862246,176742731.7,3,0.0847,1,0.5634,0
2024-02-28,sh.600000,7.12,7.16,7.08,7.1,7.14,35826714,255229185.7,3,0.1221,1,-0.5602,0
2024-02-29,sh.600000,7.11,7.17,7.09,7.15,7.1,34288217,244498953.23,3,0.1168,1,0.7042,0
2024-03-01,sh.600000,7.13,7.16,7.1,7.11,7.15,29431801,209474047.73,3,0.1003,1,-0.5594,0
2024-03-04,sh.600000,7.12,7.12,7.05,7.07,7.11,27855963,197157049.95,3,0.0949,1,-0.5626,0
2024-03-05,sh.600000,7.05,7.18,7.04,7.16,7.07,41756232,297676104.18,3,0.1423,1,1.273,0
2024-03-06,sh.600000,7.17,7.22,7.12,7.12,7.16,25918749,185847810.33,3,0.0883,1,-0.5587,0
2024-03-07,sh.600000,7.12,7.2,7.11,7.14,7.12,24690348,176664368.68,3,0.0841,1,0.2809,0
2024-03-08,sh.600000,7.12,7.17,7.11,7.12,7.14,19861794,141724066.3,3,0.0677,1,-0.2801,0
2024-03-11,sh.600000,7.13,7.17,7.06,7.11,7.12,26195498,185957986.47,3,0.0892,1,-0.1404,0
2024-03-12,sh.600000,7.11,7.15,7.08,7.1,7.11,29030476,206425806.43,3,0.0989,1,-0.1406,0
2024-03-13,sh.600000,7.12,7.12,7.03,7.04,7.1,25948461,183084895.29,3,0.0884,1,-0.8451,0
2024-03-14,sh.600000,7.04,7.09,7.03,7.04,7.04,18703556,131973016.08,3,0.0637,1,0.0,0
2024-03-15,sh.600000,7.04,7.09,7.03,7.09,7.04,29599544,208970012.26,3,0.1008,1,0.7102,0
2024-03-18,sh.600000,7.06,7.13,7.06,7.09,7.09,26558472,188382260.48,3,0.0905,1,0.0,0
2024-03-19,sh.600000,7.08,7.08,7.01,7.01,7.09,22848715,160809197.78,3,0.0778,1,-1.1283,0
2024-03-20,sh.600000,7.01,7.06,6.98,7.03,7.01,19542993,137292231.62,3,0.0666,1,0.2853,0
2024-03-21,sh.600000,7.06,7.13,7.03,7.1,7.03,41924870,297257990.39,3,0.1428,1,0.9957,0
2024-03-22,sh.600000,7.08,7.12,6.96,7.04,7.1,35960453,252638801.75,3,0.1225,1,-0.8451,0
2024-03-25,sh.600000,7.06,7.09,7.01,7.06,7.04,24439536,172644826.72,3,0.0833,1,0.2841,0
2024-03-26,sh.600000,7.09,7.15,7.07,7.15,7.06,35111522,250044910.26,3,0.1196,1,1.2748,0
2024-03-27,sh.600000,7.14,7.23,7.11,7.17,7.15,41943066,301380699.61,3,0.1429,1,0.2797,0
2024-03-28,sh.600000,7.19,7.2,7.11,7.17,7.17,34535966,246970623.06,3,0.1177,1,0.0,0
2024-03-29,sh.600000,7.13,7.19,7.11,7.13,7.17,18138885,129562450.79,3,0.0618,1,-0.5579,0
